Year,Month,Max_temperature,Min_temperature,Precipitation
1919,7,18.7,10.2,0
1919,8,22.4,12,0
1919,9,18,8.7,1
1919,10,12.1,2.3,5
1919,11,6.1,1,12
1919,12,8.6,3.2,3
1920,1,8.6,2.8,6
1920,2,9.9,2.7,6
1920,3,12,3.8,3
1920,4,12,5.9,0
1920,5,17.1,7.8,0
1920,6,19.6,10.1,0
1920,7,18.2,11,0
1920,8,18,9.7,0
1920,9,18.1,9.3,0
1920,10,14.5,6.6,1
1920,11,9.8,3.4,7
1920,12,6.8,2.2,9
1921,1,9.9,5.2,2
1921,2,8.6,1.4,7
1921,3,11.8,4.1,1
1921,4,14.2,3.9,3
1921,5,17.5,6.9,1
1921,6,21.4,9.5,0
1921,7,26.1,13.3,0
1921,8,20.9,12.1,0
1921,9,20.6,9.3,0
1921,10,18.9,8.2,0
1921,11,8,1.7,12
1921,12,9.4,3.6,5
1922,1,7.1,1.3,13
1922,2,8.3,1.4,11
1922,3,8.5,1.8,8
1922,4,10.4,1.9,7
1922,5,19.9,8.1,0
1922,6,19.9,9.3,0
1922,7,18.5,10.4,0
1922,8,18.1,10.1,0
1922,9,16.9,8.8,0
1922,10,12.9,4,6
1922,11,9,2.3,8
1922,12,8.4,3.9,1
1923,1,8.4,2.2,4
1923,2,8.8,3.7,2
1923,3,9.8,3.6,1
1923,4,12.2,4.3,2
1923,5,14.7,6,1
1923,6,17.3,8.8,0
1923,7,23.4,13.5,0
1923,8,21.4,11.1,0
1923,9,18,8.5,0
1923,10,13.6,7.1,0
1923,11,6.8,0,13
1923,12,7.4,1,14
1924,1,7.7,3,5
1924,2,6.3,0.4,12
1924,3,9.6,-0.2,21
1924,4,12.5,3.7,5
1924,5,16.9,8,0
1924,6,19.1,10.4,0
1924,7,20.7,10.9,0
1924,8,18.8,10.5,0
1924,9,17.4,10.5,0
1924,10,14.1,7.3,1
1924,11,10.1,4.8,4
1924,12,9.1,4.3,1
1925,1,8.4,2.3,6
1925,2,9,2.5,2
1925,3,8.9,1.5,13
1925,4,12.2,3.6,1
1925,5,16.8,7.8,0
1925,6,21.5,9.9,0
1925,7,22.5,12.3,0
1925,8,20.1,12,0
1925,9,16.3,7.8,0
1925,10,15.2,6.9,2
1925,11,7.7,1.4,16
1925,12,6,0.4,15
1926,1,7.5,1.5,9
1926,2,10.2,4.7,1
1926,3,10.6,3.3,2
1926,4,14.1,5.2,0
1926,5,15.1,6.6,0
1926,6,18.8,9.4,0
1926,7,21.6,12.9,0
1926,8,21.6,12.1,0
1926,9,19.6,11,0
1926,10,12.6,4.5,7
1926,11,10,3.6,5
1926,12,6.9,1.3,10
1927,1,7.8,1.8,7
1927,2,7,1.3,12
1927,3,11.5,4.4,1
1927,4,13.1,4.5,1
1927,5,17.7,6.8,1
1927,6,17.9,8.8,0
1927,7,19.6,12.6,0
1927,8,20.1,12.2,0
1927,9,16.4,9.6,0
1927,10,15,6.8,0
1927,11,9.5,3.5,8
1927,12,4,0.3,12
1928,1,9,2.2,3
1928,2,10.3,2.2,7
1928,3,10.6,3.4,6
1928,4,13,4.5,3
1928,5,16.5,6.4,1
1928,6,18.6,9.1,0
1928,7,23.3,12.4,0
1928,8,20.2,11.7,0
1928,9,19.2,7.9,0
1928,10,14.8,6.8,1
1928,11,11.5,4.6,2
1928,12,6.6,0.4,9
1929,1,3.7,-1.1,21
1929,2,3.3,-3,19
1929,3,12.9,-0.1,17
1929,4,11.8,2.5,6
1929,5,17.1,6.4,2
1929,6,18.9,8.9,0
1929,7,22.7,11.2,0
1929,8,21.2,11.6,0
1929,9,23.2,10.7,0
1929,10,14.1,6.3,2
1929,11,11,3.3,9
1929,12,9.2,3.4,5
1930,1,9,3.4,1
1930,2,5.4,0.3,13
1930,3,9.8,1.8,10
1930,4,12.5,5,1
1930,5,15.6,7,0
1930,6,21.1,10.8,0
1930,7,20.1,11.7,0
1930,8,21.2,12,0
1930,9,18,10.5,0
1930,10,14.6,7.5,0
1930,11,10.2,2.8,8
1930,12,7,1.9,9
1931,1,6.5,0.8,14
1931,2,7.4,1.3,6
1931,3,9.2,0.3,16
1931,4,11.8,4.7,0
1931,5,16.1,7.8,0
1931,6,19.5,11,0
1931,7,19.6,12.1,0
1931,8,19.1,11.2,0
1931,9,15.7,8.3,0
1931,10,13.4,5.2,8
1931,11,11,5.1,1
